"Date","Price","Open","High","Low","Vol.","Change %"
"2023-06-02","5.2750","5.2739","5.2833","5.2561","","0.04%"
"2023-06-01","5.2727","5.2400","5.2804","5.2263","","0.67%"
"2023-05-31","5.2378","5.2063","5.2413","5.1971","","0.66%"
"2023-05-30","5.2034","5.2038","5.2224","5.1984","","0.00%"
"2023-05-29","5.2034","5.1936","5.2087","5.1870","","0.32%"
"2023-05-26","5.1869","5.1901","5.1918","5.1694","","-0.04%"
"2023-05-25","5.1889","5.1937","5.2027","5.1853","","-0.06%"
"2023-05-24","5.1922","5.2236","5.2358","5.1875","","-0.62%"
"2023-05-23","5.2244","5.2094","5.2304","5.2077","","0.31%"
"2023-05-22","5.2081","5.1914","5.2113","5.1876","","0.37%"
"2023-05-19","5.1889","5.2108","5.2274","5.1824","","-0.40%"
"2023-05-18","5.2096","5.2038","5.2239","5.1943","","0.17%"
"2023-05-17","5.2010","5.1763","5.2087","5.1722","","0.51%"
"2023-05-16","5.1747","5.1638","5.2028","5.1606","","0.26%"
"2023-05-15","5.1615","5.1301","5.1659","5.1283","","0.54%"
"2023-05-12","5.1339","5.1499","5.1555","5.1292","","-0.30%"
"2023-05-11","5.1493","5.1857","5.1886","5.1483","","-0.66%"
"2023-05-10","5.1833","5.1695","5.1895","5.1669","","0.30%"
"2023-05-09","5.1676","5.1694","5.1809","5.1616","","0.00%"
"2023-05-08","5.1675","5.1631","5.1948","5.1613","","0.03%"
"2023-05-05","5.1660","5.1017","5.1684","5.0992","","1.29%"
"2023-05-04","5.1001","5.0757","5.1090","5.0652","","0.48%"
"2023-05-03","5.0756","5.0729","5.0894","5.0673","","0.09%"
"2023-05-02","5.0712","5.1027","5.1097","5.0680","","-0.60%"
"2023-05-01","5.1019","5.1033","5.1089","5.0883","","0.06%"
"2023-04-28","5.0989","5.0936","5.1066","5.0641","","0.14%"
"2023-04-27","5.0920","5.0798","5.0967","5.0714","","0.27%"
"2023-04-26","5.0782","5.0871","5.0938","5.0736","","-0.16%"
"2023-04-25","5.0864","5.0933","5.1012","5.0792","","-0.11%"
"2023-04-24","5.0918","5.0903","5.0988","5.0847","","0.05%"
"2023-04-21","5.0894","5.1009","5.1030","5.0809","","-0.17%"
"2023-04-20","5.0983","5.1157","5.1227","5.0971","","-0.31%"
"2023-04-19","5.1144","5.1356","5.1452","5.1125","","-0.38%"
"2023-04-18","5.1340","5.1363","5.1490","5.1284","","-0.02%"
"2023-04-17","5.1352","5.1427","5.1497","5.1267","","-0.08%"
"2023-04-14","5.1392","5.1500","5.1538","5.1278","","-0.18%"
"2023-04-13","5.1486","5.1146","5.1515","5.1106","","0.69%"
"2023-04-12","5.1131","5.1136","5.1231","5.0998","","0.01%"
"2023-04-11","5.1125","5.0938","5.1160","5.0911","","0.40%"
"2023-04-10","5.0919","5.0805","5.0992","5.0770","","0.17%"
"2023-04-07","5.0833","5.0963","5.1007","5.0782","","-0.23%"
"2023-04-06","5.0952","5.1113","5.1164","5.0905","","-0.30%"
"2023-04-05","5.1103","5.1181","5.1244","5.1020","","-0.12%"
"2023-04-04","5.1164","5.1187","5.1353","5.1079","","-0.02%"
"2023-04-03","5.1176","5.0816","5.1290","5.0786","","0.73%"
"2023-03-31","5.0807","5.0816","5.0866","5.0624","","0.02%"
"2023-03-30","5.0798","5.0797","5.0881","5.0721","","0.02%"
"2023-03-29","5.0787","5.0546","5.0806","5.0535","","0.49%"
"2023-03-28","5.0540","5.0392","5.0585","5.0263","","0.30%"
"2023-03-27","5.0387","4.9982","5.0441","4.9973","","0.87%"
"2023-03-24","4.9953","4.9718","5.0024","4.9651","","0.49%"
"2023-03-23","4.9711","5.0121","5.0211","4.9657","","-0.79%"
"2023-03-22","5.0107","5.0197","5.0384","5.0055","","-0.17%"
"2023-03-21","5.0190","5.0339","5.0359","5.0100","","-0.25%"
"2023-03-20","5.0315","5.0176","5.0378","5.0126","","0.35%"
"2023-03-17","5.0138","5.0272","5.0339","5.0009","","-0.24%"
"2023-03-16","5.0259","5.0194","5.0303","5.0047","","0.19%"
